2021-02-05/23:10:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:40		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:41		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:42		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:43		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:44		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:44		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:44		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:44		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:44		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:45		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:45		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:45		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:45		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:45		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:46		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:46		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:46		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:46		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:47		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:48		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:48		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:48		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:48		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:48		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:49		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:49		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:50		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:51		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:52		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:53		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:54		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:55		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:56		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:57		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:58		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:10:59		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:00		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:01		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:01		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:01		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:02		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:02		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:02		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:03		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:04		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:04		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:04		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:04		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:04		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:05		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:05		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:05		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:06		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:06		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:06		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:06		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:06		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:07		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:07		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:07		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:07		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:07		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:07		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:08		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:11		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:11		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:11		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-02-05/23:11:16		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:17		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:17		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:17		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:18		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:18		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:18		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:19		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:19		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:19		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:19		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:20		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:21		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:22		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:23		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-02-05/23:11:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:25		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:26		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:27		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:28		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:29		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:30		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:47		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:48		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:49		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:50		 wafer_21012020_080913.csv: File loaded successfully!!
2021-02-05/23:11:50		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:50		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:51		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:51		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:51		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:52		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:52		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:52		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:54		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:55		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:56		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:56		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:56		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:56		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:57		 wafer_23012020_041211.csv: File loaded successfully!!
2021-02-05/23:11:57		 wafer_23012020_041211.csv: File loaded successfully!!
